index,Predictor_Set,Model,PR_AUC,Brier_Score,Resolution,Reliability,Uncertainty,ROC_AUC,Log_Loss,Num_Forecasts
19,Deter_PCA,XGBoost,0.5665,0.063,0.0303,0.0079,0.0862,0.8707,0.2746,420
18,Deter_PCA,Logit_L2,0.5275,0.0813,0.0279,0.0229,0.0862,0.9192,0.268,420
17,Deter_PCA,Logit_L1,0.4852,0.0863,0.0243,0.0231,0.0862,0.8989,0.2799,420
22,Deter_Avg,Logit_L2,0.4432,0.1101,0.027,0.0519,0.0862,0.913,0.372,420
20,Deter_Avg,Logit,0.4252,0.0985,0.0274,0.0397,0.0862,0.8645,0.3495,420
10,Deter,Logit_L2,0.4155,0.0755,0.0266,0.0167,0.0862,0.9038,0.2596,420
6,PCA_Factors_8,Logit_L2,0.4082,0.0826,0.0248,0.0212,0.0862,0.8953,0.4162,420
21,Deter_Avg,Logit_L1,0.4007,0.1127,0.0202,0.0463,0.0862,0.8844,0.3721,420
16,Deter_PCA,Logit,0.3996,0.096,0.0207,0.0313,0.0862,0.8582,0.3309,420
9,Deter,Logit_L1,0.3831,0.0784,0.0215,0.0143,0.0862,0.8822,0.2615,420
14,Deter_States,Logit_L2,0.3701,0.082,0.017,0.0138,0.0862,0.8606,0.2634,420
7,PCA_Factors_8,XGBoost,0.3663,0.0805,0.0167,0.0121,0.0862,0.8124,0.3555,420
5,PCA_Factors_8,Logit_L1,0.3585,0.095,0.0191,0.0281,0.0862,0.8624,0.5,420
23,Deter_Avg,XGBoost,0.3471,0.0852,0.0185,0.0184,0.0862,0.8471,0.3533,420
3,Full,XGBoost,0.3379,0.0846,0.0174,0.0166,0.0862,0.8285,0.413,420
4,PCA_Factors_8,Logit,0.3316,0.0982,0.019,0.0312,0.0862,0.8326,0.5415,420
11,Deter,XGBoost,0.3154,0.0902,0.0139,0.0186,0.0862,0.8389,0.4465,420
15,Deter_States,XGBoost,0.3003,0.0892,0.0112,0.015,0.0862,0.8313,0.3918,420
2,Full,Logit_L2,0.2862,0.0961,0.0149,0.0244,0.0862,0.8014,0.3704,420
8,Deter,Logit,0.2854,0.1032,0.0175,0.0344,0.0862,0.8021,0.4289,420
12,Deter_States,Logit,0.2762,0.114,0.0087,0.0365,0.0862,0.7713,0.9322,420
13,Deter_States,Logit_L1,0.2492,0.1159,0.0077,0.039,0.0862,0.7512,0.5353,420
0,Full,Logit,0.1603,0.2477,0.0025,0.1636,0.0862,0.6404,3.441,420
1,Full,Logit_L1,0.1566,0.13,0.0048,0.0472,0.0862,0.6884,0.4609,420
